Continent,Year,Population,"Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births,Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Mean Age Childbearing (years),Sex Ratio at Birth (males per 100 female births),Deaths,Male Deaths (thousands),Female Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),"Life Expectancy at Age 15, both sexes (years)",Male Life Expectancy at Age 15 (years),Female Life Expectancy at Age 15 (years),"Life Expectancy at Age 65, both sexes (years)",Male Life Expectancy at Age 65 (years),Female Life Expectancy at Age 65 (years),"Life Expectancy at Age 80, both sexes (years)",Male Life Expectancy at Age 80 (years),Female Life Expectancy at Age 80 (years),"Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)"
Africa,2021,1377285,1393676,695883,697793,47.2,99.7,18.6,33331,23.9,32784,2.35,29.5,45369,6570,32.5,4.31,1.87,29,104,12038,6401,5637,8.6,61.7,59.7,63.7,52.2,50.4,54.1,12.6,11.6,13.4,5.6,5,6,2057,45.4,43,2957,66,166,180,153,335,371,299,155,174,136,273,308,237,-547,-0.4
Asia,2021,4680790,4694576,2389589,2304987,149.7,103.7,31.2,29076,6.2,27572,0.59,118.1,67227,4419,14.3,1.94,0.9,28.1,108,38150,21029,17121,8.1,72.5,70.1,75.1,59.8,57.4,62.4,15.9,14.4,17.4,7.4,6.5,8.2,1499,22.2,65,1838,27,63,71,55,170,201,137,67,81,52,144,174,111,-1504,-0.3
Europe,2021,745853,745174,359679,385494,33.7,93.3,41.7,-2777,-3.7,-1359,-0.18,0,6880,204,9.2,1.48,0.71,30.1,106,9656,4892,4765,13,77,73.6,80.5,62.4,59,65.9,17.7,15.8,19.3,8.4,7.5,8.9,25,3.6,6,30,4,29,40,18,123,169,77,56,78,32,119,164,73,1418,1.9
Latin America and the Caribbean,2021,654148,656098,323223,332875,32.4,97.1,30.3,4174,6.4,3900,0.59,116.7,9709,1393,14.8,1.86,0.89,27.5,104,5535,3108,2427,8.4,72.2,68.8,75.8,58.5,55.2,62.1,15.7,14,17.3,7.1,6.2,7.8,132,13.6,9,158,16,62,82,41,189,242,136,87,118,55,173,225,121,-274,-0.4
North America,2021,374641,375279,185965,189314,20.1,98.2,37.9,519,1.4,1276,0.34,0,4098,179,10.9,1.64,0.79,29.7,105,3579,1942,1637,9.5,77.7,74.9,80.7,63.3,60.5,66.2,19.3,17.7,20.7,9.6,8.7,10.3,22,5.3,4,25,6,41,53,27,135,169,100,62,81,42,129,162,94,757,2
Oceania,2021,44215,44492,22308,22184,5.2,100.6,32.2,403,9.1,554,1.25,55.6,693,41,15.6,2.15,1.01,29.9,107,289,154,135,6.5,79.4,77.4,81.6,66.3,64.3,68.3,20.5,19.2,21.7,9.8,9.1,10.4,11,16,683.374,14,20,43,49,37,107,126,87,41,50,33,86,104,67,151,3.4
