Country,1951,1961,1971,1981,1991,2001,2011,2021,1951_,1961_,1971_,1981_,1991_,2001_,2011_,2021_
Comoros,164000,197000,246000,333000,437000,542000,663000,814000,88.7,106.7,133.8,181.6,237.7,294.3,360.1,441.5
Congo,844000,1069000,1418000,1850000,2418000,3213000,4512000,5769000,2.5,3.2,4.2,5.5,7.2,9.5,13.4,17.1
Cook Islands,15000,18000,21000,18000,17000,16000,18000,17000,62.6,75.1,86.9,73.2,72.1,63.7,74,70.8
Costa Rica,964000,1371000,1880000,2447000,3198000,4017000,4651000,5141000,19.2,27.3,37.3,48.6,63.4,79.4,91.7,100.9
Cote d'Ivoire,2775000,3776000,5593000,8460000,12137000,17024000,21344000,27146000,8.9,12.1,18,27.1,38.9,54.2,67.8,86.4
Croatia,3883000,4231000,4501000,4691000,4871000,4519000,4361000,4079000,69.8,76,80.7,84.2,86.7,80.6,77.9,72.6
Cuba,5987000,7342000,8950000,9824000,10676000,11123000,11294000,11292000,56.7,69.5,84.5,92.3,100.4,104.3,105.8,105.4
Cyprus,498000,592000,643000,683000,794000,956000,1139000,1241000,54.3,64.4,69.7,74.4,86.5,104.4,123.9,134.7
Czechia,8957000,9557000,9803000,10278000,10299000,10228000,10487000,10524000,116.5,124,127.2,133.2,133.5,132.5,136,136.1
Dem. People's Republic of Korea,10812000,11791000,15193000,18102000,20955000,23443000,24734000,25922000,87.7,99,127.7,151.4,175.4,195.3,205.8,215.7
Dem. Rep. Congo,12417000,15472000,20439000,27082000,36603000,49331000,67487000,94374000,5.5,6.9,9.1,12.1,16.4,22.1,30.3,42.3
Denmark,4284000,4597000,4936000,5127000,5151000,5351000,5564000,5841000,101.4,108.8,116.8,120.9,121.7,126.5,131.5,138.1
Djibouti,63000,88000,149000,334000,610000,753000,928000,1098000,2.8,3.9,6.7,14.7,27.1,33,40.4,47.7
Dominica,50000,60000,69000,73000,69000,68000,69000,72000,67.2,80.5,92.6,97.2,92.2,90.9,91.7,96.6
Dominican Republic,2418000,3353000,4538000,5821000,7204000,8606000,9840000,11060000,50.8,70.6,95.2,121.8,150.7,179.4,205,230.1
Ecuador,3565000,4683000,6261000,8243000,10569000,12735000,15113000,17690000,14.5,19.1,25.6,33.6,43,51.7,61.4,71.7
Egypt,21371000,27385000,35175000,44321000,57934000,72105000,88166000,108392000,21.7,27.9,35.7,45.1,58.9,73.2,89.6,109.8
El Salvador,2207000,2818000,3664000,4543000,5416000,5975000,6126000,6305000,107.7,138,179,219.6,263.6,289,296.2,304.7
Equatorial Guinea,228000,270000,315000,288000,474000,702000,1120000,1614000,8.2,9.7,11.1,10.6,17.2,25.6,40.8,58.3
Eritrea,828000,1005000,1289000,1680000,2173000,2408000,3182000,3588000,6.9,8.4,10.8,14.1,16.8,20.3,26.5,29.9
Estonia,1109000,1226000,1368000,1481000,1571000,1393000,1330000,1330000,25.7,28.4,31.6,34.2,36,31.9,30.5,30.6
Eswatini,275000,349000,449000,608000,872000,1036000,1103000,1187000,16,20.3,26.2,35.5,51.2,60,63.7,68.7
Ethiopia,17903000,22003000,28703000,34996000,48742000,68004000,90506000,118743000,18.1,22.3,29.1,35.8,49.9,69,91.8,120.3
Falkland Islands (Malvinas),2000,2000,2000,2000,2000,3000,3000,4000,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
Faroe Islands,32000,34000,39000,43000,47000,46000,48000,53000,23,25,28.1,31.5,33.8,33.4,34.9,38.2
Fiji,310000,408000,533000,653000,784000,837000,907000,923000,17.1,22.7,29.4,36.2,43,46,49.7,50.6
Finland,4030000,4447000,4599000,4788000,4999000,5181000,5375000,5534000,13.4,14.8,15.3,15.9,16.6,17.2,17.8,18.3
