Country,1951,1961,1971,1981,1991,2001,2011,2021,1951_,1961_,1971_,1981_,1991_,2001_,2011_,2021_
Thailand,20656000,26986000,36301000,46238000,55683000,63362000,68489000,71562000,40.9,53.6,72,91.5,109.8,124.6,134.5,140.2
Timor-Leste,416000,472000,559000,647000,767000,885000,1100000,1310000,28.1,32,37.9,43.7,52,60.1,74.8,88.8
Togo,1410000,1665000,2234000,2879000,3933000,5077000,6660000,8543000,26.1,30.9,41.7,53.8,73.4,94.6,124.1,158.9
Tokelau,2000,2000,2000,2000,2000,2000,1000,2000,131.6,153.9,138.2,136.7,138.1,139.9,115.2,154.1
Tonga,51000,68000,87000,97000,99000,103000,108000,106000,78.9,106.8,135.2,149,152.3,158.8,165.6,163.1
Trinidad and Tobago,657000,857000,994000,1135000,1271000,1335000,1415000,1522000,129.7,168.6,195,222.7,248.8,260.9,276.8,297.4
Tunisia,3639000,4215000,5114000,6659000,8532000,9945000,10952000,12217000,23.6,27.3,33.3,43.4,55.5,64.3,71,78.9
Turkey,21240000,27873000,35950000,44547000,54830000,64582000,73687000,84459000,28,36.7,47.2,58.4,71.9,84.6,96.4,110.2
Turkmenistan,1225000,1630000,2233000,2897000,3770000,4603000,5313000,6297000,2.6,3.5,4.8,6.2,8.1,9.9,11.4,13.5
Turks and Caicos Islands,5000,6000,6000,8000,12000,19000,30000,45000,5.3,5.9,6,8.4,13,20.6,32.4,47.5
Tuvalu,5000,5000,6000,8000,9000,10000,11000,11000,162,181.2,195.2,262.5,311.8,320.7,356.7,373.5
Uganda,5829000,7726000,10473000,13415000,17869000,24395000,32813000,45123000,29.6,39.2,53.1,67.9,90.9,123.9,166.6,229.5
Ukraine,37543000,43072000,47402000,50089000,51629000,48653000,45588000,43729000,65.2,74.9,82.2,86.6,89.2,83.6,78.6,75.1
United Arab Emirates,77000,137000,321000,1067000,1954000,3365000,8530000,9327000,1.1,2,4.9,15.5,28.3,48.6,120.7,131.9
United Kingdom,50179000,52704000,55761000,56366000,57286000,58965000,63021000,67168000,207.1,217.8,230.2,232.3,236.3,243.4,260.7,277.2
United Republic of Tanzania,7731000,10186000,13849000,19591000,26547000,34955000,45746000,62637000,8.8,11.7,15.9,22.5,30.4,40,52.4,71.8
United States of America,149467000,177641000,201672000,224493000,249802000,283980000,312482000,336496000,16.5,19.6,22.2,24.7,27.5,31.2,34.3,36.8
United States Virgin Islands,27000,34000,65000,97000,101000,108000,106000,100000,79.1,100,191.8,280.4,288.5,308.6,301.4,286
Uruguay,2244000,2545000,2798000,2960000,3126000,3298000,3357000,3430000,13,14.8,16.2,17.1,18.1,19.1,19.4,19.8
Uzbekistan,6327000,8523000,12192000,16139000,20814000,25083000,28837000,33810000,15.1,20.4,29.1,38.4,49.5,59.4,68.3,80.1
Vanuatu,52000,66000,88000,119000,153000,194000,248000,315000,4.3,5.5,7.4,9.9,12.7,16.2,20.6,26.2
Venezuela,5609000,8304000,11529000,15423000,19988000,24658000,28908000,28352000,6.3,9.2,12.8,17.1,22.1,27.1,31.7,30.8
Vietnam,25388000,33207000,42391000,53613000,67633000,79412000,87877000,97094000,81.8,107.3,136.9,173.2,218.1,254.7,281.9,311
Wallis and Futuna Islands,9000,9000,9000,12000,14000,15000,13000,12000,62.9,61,67.6,83.9,97.1,106.1,92.1,83.1
Western Sahara,14000,35000,79000,122000,181000,277000,421000,561000,0.1,0.1,0.3,0.5,0.7,1.1,1.6,2.1
Yemen,4747000,5593000,6931000,9362000,13631000,18886000,25105000,32641000,9.1,10.7,13.3,18,26.3,36.3,48.3,62.5
Zambia,2351000,3168000,4340000,5805000,7784000,10032000,14028000,19201000,3.2,4.3,5.9,7.9,10.6,13.7,19.2,26.2
Zimbabwe,2836000,3865000,5281000,7365000,10247000,11878000,12927000,15834000,7.4,10.1,,,,30.8,33.7,
